"Language/Locale","App Name (Max 30)","Short Description (Max 80)","Full Description (Max 4000)"
"de","NeoTune: Radio & Podcasts","Höre weltweites AM/FM-Radio, Podcasts und entspannendes Lo-Fi.","Erlebe weltweites Live-Radio, beliebte Podcasts und entspannende Lo-Fi-Musik mit NeoTune. Durchsuche Tausende von AM/FM-Sendern nach Genre, Land oder Sprache in hervorragender Audioqualität. Genieße anpassbare Designs, einen integrierten Equalizer, Sleep-Timer, Auto-Modus und animierten Bildschirmschoner."
"el","NeoTune: Ραδιόφωνο & Podcast","Ακούστε παγκόσμιο ραδιόφωνο AM/FM, podcast και χαλαρωτική lo-fi.","Απολαύστε ζωντανό παγκόσμιο ραδιόφωνο, δημοφιλή podcast και χαλαρωτική μουσική lo-fi με το NeoTune. Περιηγηθείτε σε χιλιάδες σταθμούς AM/FM ανά είδος, χώρα ή γλώσσα με υψηλή ποιότητα ήχου. Περιλαμβάνει προσαρμοσμένα θέματα, ισοσταθμιστή, χρονοδιακόπτη ύπνου, λειτουργία αυτοκινήτου και προστασία οθόνης."
"es","NeoTune: Radio y Podcasts","Escucha radio AM/FM global, podcasts y música lo-fi relajante.","Disfruta de radio en vivo de todo el mundo, podcasts populares y música lo-fi relajante con NeoTune. Explora miles de estaciones AM/FM por género, país o idioma con audio de alta calidad. Cuenta con temas personalizados, ecualizador incorporado, temporizador de apagado, modo coche adaptado y salvapantallas interactivo."
"et","NeoTune: Raadio ja Podcastid","Kuula ülemaailmset AM/FM raadiot, podcaste ja rahustavat lo-fi.","Koge maailma raadiot otseülekandes, populaarseid podcaste ja lõõgastavat lo-fi muusikat NeoTune'iga. Sirvi tuhandeid AM/FM raadiojaamu žanri, riigi või keele järgi kõrge helikvaliteediga. Naudi kohandatavaid teemasid, ekvalaiserit, unetaimerit, autolaadi ja ekraanisäästjat."
"eu","NeoTune: Irratia eta Podcast","Entzun munduko AM/FM irratia, podcast-ak eta lo-fi lasaia.","Gozatu mundu osoko zuzeneko irratiaz, podcast ezagunez eta lo-fi musika lasaigarriaz NeoTune-rekin. Bilatu milaka AM/FM irrati-kate genero, herrialde edo hizkuntzaren arabera soinu kalitate bikainarekin. Gai pertsonalizatuak, ekualizadorea, lo-tenporizadorea eta auto-modua ditu."
"fa","NeoTune: رادیو و پادکست","به رادیوهای جهانی، پادکست‌ها و موسیقی آرامش‌بخش لو-فای گوش دهید.","با NeoTune از هزاران ایستگاه رادیویی زنده AM/FM در سراسر جهان، پادکست‌های محبوب و آهنگ‌های آرامش‌بخش لو-فای لذت ببرید. جستجو بر اساس سبک, کشور یا زبان با کیفیت صدای فوق‌العاده. دارای اکولایزر, تایمر خواب، حالت رانندگی ماشین و محافظ صفحه نمایش."
"fi","NeoTune: Radio & Podcastit","Kuuntele maailman AM/FM-radiota, podcasteja ja rentouttavaa lo-fia.","Koe maailmanlaajuinen live-radio, suositut podcastit ja rentouttava lo-fi-musiikki NeoTunen avulla. Selaa tuhansia AM/FM-asemia genren, maan tai kielen mukaan korkealla äänenlaadulla. Mukana muokattavat teemat, taajuuskorjain, uniajastin, autotila ja näytönsäästäjä."
"fil","NeoTune: Radio at Podcasts","Makinig sa pandaigdigang AM/FM radyo, podcast, at lo-fi music.","Damhin ang pandaigdigang live radio, sikat na podcast, at nakaka-relax na lo-fi na musika gamit ang NeoTune. Mag-browse ng libu-libong AM/FM station ayon sa genre, bansa, o wika sa mataas na kalidad ng audio. May kasamang mga custom na tema, equalizer, sleep timer, car mode, at screensaver."
"fr","NeoTune: Radio & Podcasts","Écoutez les radios AM/FM mondiales, podcasts et lo-fi relaxante.","Découvrez les radios en direct du monde entier, des podcasts populaires et de la musique lo-fi apaisante avec NeoTune. Explorez des milliers de stations AM/FM par genre, pays ou langue avec un son haute fidélité. Profitez de thèmes personnalisés, d'un égaliseur, d'un minuteur de mise en veille, du mode voiture et d'un économiseur d'écran."
"gl","NeoTune: Radio e Podcasts","Escoita radio AM/FM global, podcasts e música lo-fi relaxante.","Disfruta de radio en directo de todo o mundo, podcasts populares e música lo-fi relaxante con NeoTune. Explora miles de estacións AM/FM por xénero, país ou idioma con son de alta calidade. Inclúe temas personalizados, ecualizador, temporizador de apagado e modo coche."
"gu","NeoTune: રેડિયો અને પોડકાસ્ટ","વૈશ્વಿಕ AM/FM રેડિયો, પોડકાસ્ટ અને રિલેક્સિંગ લો-ફાઈ સાંભળો.","NeoTune સાથે વિશ્વભرના હજારો લાઇવ રેડિયો સ્ટેશનો, લોકપ્રિય પોડકાસ્ટ અને હળવા લો-ફાઇ સંગીતનો આનંદ માણો. શૈલી, દેશ અથવા ભાષા દ્વારા સ્ટેશનો શોધો. આમાં કસ્ટમ થીમ્સ, ઇક્વેલાઇઝર, સ્લીપ ટાઇમર અને કાર મોડ શામેล છે."
"he","NeoTune: רדיו ופودקאסטים","האזינו לרדיו AM/FM עולמי, פודקאסטים ומוזיקת לואו-פיי מרגיעה.","חוו רדיו חי מרחבי העולם, פודקאסטים פופולריים ומוזיקת לואו-פיי מרגיעה עם NeoTune. דפדפו בין אלפי תחנות לפי ז'אנר, מדינה או שפה באיכות שמע מעולה. כולל ערכות נושא מותאמות אישית, אקולייזר, טייمر שינה, מצב רכב ומסך שינה."
"hi","NeoTune: रेडियो और पॉडकास्ट","दुनियाभर के AM/FM रेडियो, पॉडकास्ट और लो-फाई संगीत सुनें।","NeoTune के साथ दुनिया भर के हजारों लाइव रेडियो स्टेशनों, लोकप्रिय पॉडकास्ट और आरामदायक लो-फाई संगीत का आनंद लें। शैली, देश या भाषा के आधार पर स्टेशन खोजें। इसमें कस्टम थीम, इक्वलाइज़र, स्लीप टाइमर और ड्राइविंग के लिए कार मोड शामिल हैं।"
"hr","NeoTune: Radio i Podcasti","Slušajte svjetski AM/FM radio, podcaste i opuštajući lo-fi.","Uživajte u svjetskom radiju uživo, popularnim podcastima i opuštajućoj lo-fi glazbi uz NeoTune. Pregledavajte tisuće AM/FM stanica prema žanru, državi ili jeziku s vrhunskom kvalitetom zvuka. Sadrži prilagodljive teme, ekvilajzer, tajmer za spavanje, način rada za automobil i čuvar zaslona."
"hu","NeoTune: Rádió és Podcastok","Hallgasson globális AM/FM rádiót, podcastokat és nyugtató lo-fi-t.","Élvezze a világ élő rádióadásait, a népszerű podcastokat és a megnyugtató lo-fi zenét a NeoTune segítségével. Böngésszen több ezer AM/FM állomás között műfaj, ország vagy nyelv szerint. Egyedi témák, hangszínszabályzó, elalváskapcsoló, autós mód és képernyővédő is rendelkezésre áll."
"hy","NeoTune: Ռադիո և Պոդքաստ","Լսեք համաշխարհային AM/FM ռադիո, պոդքաստներ և հանգստացնող լո-ֆայ։","Վայելեք ուղիղ եթերով համաշխարհային ռադիոն, հանրահայտ պոդքաստները և հանգստացնող լո-ֆայ երաժշտությունը NeoTune-ի միջոցով։ Փնտրեք հազարավոր AM/FM կայաններ ըստ ժանրի, երկրի կամ լեզվի։ Ներառում է անհատականացված թեմաներ, էկվալայզեր, քնի ժամանակաչափ և մեքենայի ռեժիմ։"
"id","NeoTune: Radio & Podcast","Dengarkan radio AM/FM global, podcast, dan lo-fi yang santai.","Nikmati radio siaran langsung global, podcast populer, dan musik lo-fi yang menenangkan dengan NeoTune. Jelajahi ribuan stasiun AM/FM berdasarkan genre, negara, atau bahasa dengan kualitas audio tinggi. Dilengkapi tema kustom, equalizer, pengatur waktu tidur, mode mobil, dan screensaver."
"it","NeoTune: Radio & Podcast","Ascolta radio AM/FM globale, podcast e musica lo-fi rilassante.","Scopri la radio in diretta da tutto il mondo, i podcast di tendenza e la musica lo-fi rilassante con NeoTune. Sfoglia migliaia di stazioni AM/FM per genere, paese o lingua con un audio ad alta fedeltà. Include temi personalizzati, equalizzatore, timer di spegnimento, modalità auto e salvaschermo."
"ja","NeoTune: ラジオ＆ポッドキャスト","世界中のAM/FMラジオ、ポッドキャスト、癒しのローファイを聴こう。","NeoTuneで世界中のライブAM/FMラジオ、人気のポッドキャスト、心地よいローファイ音楽を楽しみましょう。ジャンル、国、言語から何千もの放送局を検索し、高音質でストリーミング。カスタムテーマ、イコライザー, スリープタイマー、カーモード、スクリーンセーバーを搭載。"
"ka","NeoTune: რადიო და პოდკასტი","მოუსმინეთ გლობალურ AM/FM რადიოს, პოდკასტებს და დამამშვიდებელ ლო-ფაის.","ისიამოვნეთ მსოფლიოს პირდაპირი რადიოეთერით, პოპულარული პოდკასტებითა და დამამშვიდებელი ლო-ფაი მუსიკით NeoTune-ის საშუალებით. მოძებნეთ ათასობით AM/FM სადგური ჟანრის, ქვეყნის ან ენის მიხედვით. მოყვება მორგებული თემები, ეკვალაიზერი, ძილის ტაიმერი და მანქანის რეჟიმი."
"kk","NeoTune: Радио және Подкасттар","Әлемдік AM/FM радиосын, подкасттарды және тыныштандыратын lo-fi тыңдаңыз.","NeoTune арқылы әлемдік тікелей радионы, танымал подкасттарды және тыныштандыратын ло-фи музыкасын тыңдаңыз. Мыңдаған AM/FM станцияларын жанр, ел немесе тіл бойынша іздеңіз. Реттелетін тақырыптар, эквалайзер, ұйқы таймері, көлік режимі және экран сақтағыш бар."
"kn","NeoTune: ರೇಡಿಯೋ ಮತ್ತು ಪಾಡ್‌ಕಾಸ್ಟ್","ಜಾಗತಿಕ AM/FM ರೇಡಿಯೋ, ಪಾಡ್‌ಕಾಸ್ಟ್‌ಗಳು ಮತ್ತು ಲೋ-ಫೈ ಸಂಗೀತ ಆಲಿಸಿ.","NeoTune ನೊಂದಿಗೆ ಜಾಗತಿಕ ಲೈವ್ ರೇಡಿಯೋ, ಜನಪ್ರಿಯ ಪಾಡ್‌ಕಾಸ್ಟ್‌ಗಳು ಮತ್ತು ವಿಶ್ರಾಂತಿ ನೀಡುವ ಲೋ-ಫೈ ಸಂಗೀತವನ್ನು ಆನಂದಿಸಿ. ಪ್ರಕಾರ, ದೇಶ ಅಥವಾ ಭಾಷೆಯ ಮೂಲಕ ಸಾವಿರಾರು AM/FM ಸ್ಟೇಷನ್‌ಗಳನ್ನು ಬ್ರೌಸ್ ಮಾಡಿ. ಕಸ್ಟಮ್ ಥೀಮ್‌ಗಳು, ಈಕ್ವಲೈಜರ್, ಸ್ಲೀಪ್ ಟೈಮರ್ ಮತ್ತು ಕಾರ್ ಮೋಡ್ ಒಳಗೊಂಡಿದೆ."
"ko","NeoTune: 라디오 & 팟캐스트","전 세계 AM/FM 라디오, 팟캐스트 및 편안한 로파이 음악 감상.","NeoTune으로 전 세계의 실시간 AM/FM 라디오, 인기 팟캐스트, 그리고 마음을 차분하게 해주는 로파이(Lo-Fi) 음악을 만나보세요. 장르, 국가, 언어별로 수천 개의 방송국을 검색하고 고음질로 감상하세요. 맞춤 테마, 이퀄라이저, 취침 타이머, 차량 모드, 스크린세이버 기능 제공."
"lt","NeoTune: Radijas ir Podcastai","Klausykitės pasauliniego AM/FM radijo, podcast'ų ir raminančio lo-fi.","Mėgaukitės gyvu radiju iš viso pasaulio, populiariais podcast'ais ir raminančia lo-fi muzika su NeoTune. Naršykite tūkstančius AM/FM stočių pagal žanrą, šalį ar kalbą su aukšta garso kokybe. Yra pritaikomos temos, ekvalaizeris, išsijungimo laikmatis, automobilio režimas ir ekrano užsklanda."
"lv","NeoTune: Radio un Podkāsti","Klausieties pasaules AM/FM radio, podkāstus un nomierinošu lo-fi.","Izbaudiet pasaules radio tiešraidi, populārus podkāstus un nomierinošu lo-fi mūziku ar NeoTune. Pārlūkojiet tūkstošiem AM/FM staciju pēc žanra, valsts vai valodas izcilā audio kvalitātē. Ietver pielāgojamus motīvus, ekvalaizeru, miega taimeri, auto režīmu un ekrānsaudzētāju."
"ml","NeoTune: റേഡിയോ & പോഡ്‌കാസ്റ്റ്","ആഗോള AM/FM റേഡിയോ, പോഡ്‌കാസ്റ്റുകൾ, ലോ-ഫൈ എന്നിവ കേൾക്കൂ.","NeoTune ഉപയോഗിച്ച് ലോകമെമ്പാടുമുള്ള തത്സമയ റേഡിയോ സ്റ്റേഷനുകൾ, ജനപ്രിയ പോഡ്‌കാസ്റ്റുകൾ, ശാന്തമായ ലോ-ഫൈ സംഗീതം എന്നിവ ആസ്വദിക്കൂ. തരം, രാജ്യം അല്ലെങ്കിൽ ഭാഷ അനുസരിച്ച് സ്റ്റേഷനുകൾ കണ്ടെത്താം. ഇതിൽ കസ്റ്റം തീമുകൾ, ഇക്വലൈസർ, സ്ലീപ്പ് ടൈമർ, കാർ മോഡ് എന്നിവ ഉൾപ്പെടുന്നു."
"mr","NeoTune: रेडिओ आणि पॉडकास्ट","जागतिक AM/FM रेडिओ, पॉडकास्ट आणि शांत लो-फाय संगीत ऐका.","NeoTune सह जगातील हजारो लाईव्ह रेडिओ स्टेशन, लोकप्रिय पॉডकास्ट आणि आरामदायी लो-फाय संगीताचा आनंद घ्या. शैली, देश किंवा भाषेनुसार स्टेशन शोधा. यामध्ये कस्टमाइझ थीम, इक्वलायझर, स्लीप टाइमर आणि कार मोड समाविष्ट आहे."
"ms","NeoTune: Radio & Podcast","Dengar radio AM/FM global, podcast dan muzik lo-fi yang santai.","Alami radio langsung global, podcast popular dan muzik lo-fi yang menenangkan dengan NeoTune. Layari beribu-ribu stasiun AM/FM mengikut genre, negara atau bahasa dengan kualiti audio yang tinggi. Mempunyai tema tersuai, equalizer, pemasa tidur, mod kereta, dan penyelamat skrin."
"nb","NeoTune: Radio & Podcasts","Lytt til global AM/FM-radio, podkaster og avslappende lo-fi.","Opplev global liveradio, populære podkaster og avslappende lo-fi-musikk med NeoTune. Bla gjennom tusenvis av AM/FM-stasjoner etter sjanger, land eller språk med krystallklar lydkvalitet. Inkluderer egne temaer, equalizer, sleep-timer, bilmodus og pauseskjerm."
"nl","NeoTune: Radio & Podcasts","Luister naar wereldwijde AM/FM-radio, podcasts en relaxte lo-fi.","Ervaar wereldwijde live radio, populaire podcasts and ontspannende lo-fi muziek met NeoTune. Blader door duizenden AM/FM-zenders op genre, land of taal in hoge audiokwaliteit. Geniet van aanpasbare thema's, equalizer, slaaptimer, automodus en schermbeveiliging."
"pa","NeoTune: ਰੇਡੀਓ ਅਤੇ ਪੌਡਕਾਸਟ","ਦੁਨੀਆ ਭਰ ਦੇ AM/FM ਰੇਡੀਓ, ਪੌਡਕਾਸਟ ਅਤੇ ਲੋ-ਫਾਈ ਸੰਗੀਤ ਸੁਣੋ।","NeoTune ਨਾਲ ਦੁਨੀਆ ਭਰ ਦੇ ਹਜ਼ਾਰਾਂ ਲਾਈਵ ਰੇਡੀਓ ਸਟੇਸ਼ਨਾਂ, ਪ੍ਰਸਿੱਧ ਪੌਡਕਾਸਟਾਂ ਅਤੇ ਆਰਾਮਦਾਇਕ ਲੋ-ਫਾਈ ਸੰਗੀਤ ਦਾ ਆਨੰਦ ਲਓ। ਸ਼ੈਲੀ, ਦੇਸ਼ ਜਾਂ ਭਾਸ਼ਾ ਅਨੁਸਾਰ ਸਟੇਸ਼ਨ ਲੱਭੋ। ਇਸ ਵਿੱਚ ਕਸटਮ ਥੀਮ, ਇਕੁਲਾਈਜ਼ਰ, ਸਲੀਪ ਟਾਈਮਰ ਅਤੇ ਕਾਰ ਮੋਡ ਸ਼ਾਮਲ ਹਨ।"
"pl","NeoTune: Radio i Podcasty","Słuchaj światowego radia AM/FM, podcastów i relaksującego lo-fi.","Ciesz się radiem na żywo z całego świata, popularnymi podcastami i relaksującą muzyką lo-fi dzięki NeoTune. Przeglądaj tysiące stacji AM/FM według gatunku, kraju lub języka w najwyższej jakości dźwięku. Zawera spersonalizowane motywy, korektor, wyłącznik czasowy, tryb samochodowy i wygaszacz ekranu."
"pt","NeoTune: Rádio e Podcasts","Ouça rádio AM/FM global, podcasts e música lo-fi relaxante.","Desfrute de rádio ao vivo de todo o mundo, podcasts populares e música lo-fi relaxante com o NeoTune. Navegue por milhares de estações AM/FM por género, país ou idioma com áudio de alta qualidade. Inclui temas personalizados, equalizador, temporizador de sono, modo carro e descanso de ecrã."
"ro","NeoTune: Radio și Podcast-uri","Ascultă radio AM/FM global, podcasturi și muzică lo-fi relaxantă.","Bucură-te de radio live din întreaga lume, podcasturi populare și muzică lo-fi relaxantă cu NeoTune. Răsfoiește mii de stații AM/FM după gen, țară sau limbă la o calitate audio de excepție. Include teme personalizate, egalizator, temporizator de somn, mod auto și economizor de ecran."
"ru","NeoTune: Радио и Подкасты","Слушайте мировое AM/FM-радио, подкасты и расслабляющий lo-fi.","Наслаждайтесь прямым эфиром тысяч мировых радиостанций, популярными подкастами и расслабляющей ло-фи музыкой с NeoTune. Ищите станции по жанру, стране или языку с высоким качеством звука. Включает кастомные темы, эквалайзер, таймер сна, автомобильный режим и экранную заставку."
"sk","NeoTune: Rádio a Podcasty","Počúvajte svetové AM/FM rádiá, podcasty a relaxačné lo-fi.","Zažite svetové rádio naživo, populárne podcasty a relaxačnú lo-fi hudbu s aplikáciou NeoTune. Prehliadajte tisíce AM/FM staníc podľa žánru, krajiny alebo jazyka s vysokou kvalitou zvuku. Ponúka vlastné témy, ekvalizér, časovač vypnutia, režim do auta a šetrič obrazovky."
"sl","NeoTune: Radio in Podcasti","Poslušajte svetovni AM/FM radio, podcaste in sproščujoč lo-fi.","Uvajte v svetovnem radiu v živo, priljubljenih podcastih in sproščujoči lo-fi glasbi z NeoTune. Brskajte po tisočih AM/FM postajah glede na žanr, državo ali jezik z vrhunskim zvokom. Vključuje prilagodljive teme, izenačevalnik, časovnik spanja, avtomobilski način in ohranjevalnik zaslona."
"sr","NeoTune: Радио и Подкасти","Слушајте светски AM/FM радио, подкасте и опуштајући lo-fi.","Уживајте у светском радију уживо, популарним подкастима и опуштајућој ло-фи музици уз NeoTune. Претражујте хиљаде AM/FM станица по жанру, земљи или језику са врхунским квалитетом звука. Садржи прилагодљиве теме, еквилајзер, тајмер за спавање, режим за аутомобил и чувар екрана."
"sv","NeoTune: Radio & Podcasts","Lyssna på global AM/FM-radio, podcasts och avslappnande lo-fi.","Upplev global liveradio, populära podcasts och avslappnande lo-fi-musik med NeoTune. Bläddra bland tusentals AM/FM-stationer efter genre, land eller språk med fantastisk ljudkvalitet. Innehåller anpassade teman, equalizer, sleep-timer, billäge och skärmsläckare."
"sw","NeoTune: Redio na Podcast","Sikiliza redio ya AM/FM ya kimataifa, podcast na lo-fi ya kutuliza.","Furahia redio ya moja kwa moja ya kimataifa, podikasti maarufu na muziki wa lo-fi wa kutuliza ukitumia NeoTune. Vinjari maelfu ya stesheni za AM/FM kulingana na aina, nchi, au lugha kwa sauti ya hali ya juu. Inajumuisha mandhari maalum, kusawazisha sauti, kipima muda cha kulala, na modi ya gari."
"ta","NeoTune: ரேடியோ & ಪಾட்காஸ்ட்","உலகளாவிய AM/FM ரேடியோ, பாட்காஸ்ட்கள் மற்றும் லோ-ஃபை கேளுங்கள்.","NeoTune மூலம் உலகெங்கிலும் உள்ள நேரடி வானொலி நிலையங்கள், பிரபலமான பாட்காஸ்ட்கள் மற்றும் நிதானமான லோ-ஃபை இசையை அனுபவிக்கவும். வகை, நாடு அல்லது மொழியின் மூலம் நிலையங்களைக் கண்டறியலாம். இதில் தனிப்பயன் தீம்கள், ஈக்வலைசர், ஸ்லீп டைமர் ಮತ್ತು கார் ಮೋಡ್ உள்ளது."
"te","NeoTune: రేడియో & పాడ్‌కాస్ట్","ప్రపంచవ్యాప్త AM/FM రేడియో, పాడ్‌కాస్ట్‌లు మరియు లో-ఫై వినండి.","NeoTuneతో ప్రపంచవ్యాప్త లైవ్ రేడియో, ప్రసిద్ధ పాడ్‌కాస్ట్‌లు మరియు ప్రశాಂತమైన లో-ఫై సంగీతాన్ని ఆస్వాదించండి. జానర్, దేశం లేదా భాష ఆధారంగా స్టేషన్‌లను కనుగొనండి. ఇందులో కస్టమ్ థీమ్‌లు, ఈక్వలైজার, స్లీప్ టైమర్ మరియు కార్ మోడ్ ఉన్నాయి."
"th","NeoTune: วิทยุและพอดแคสต์","ฟังวิทยุ AM/FM ทั่วโลก พอดแคสต์ และเพลง lo-fi แสนผ่อนคลาย","สัมผัสประสบการณ์วิทยุสดทั่วโลก พอดแคสต์ยอดนิยม และเพลง lo-fi ที่ผ่อนคลายกับ NeoTune ค้นหาสถานี AM/FM นับพันตามประเภท ประเทศ หรือภาษาด้วยคุณภาพเสียงระดับสูง มาพร้อมธีมที่ปรับแต่งได้, อีควอไลเซอร์, ตัวตั้งเวลาปิด และโหมดใช้งานในรถยนต์"
"tr","NeoTune: Radyo & Podcast","Küresel AM/FM radyo, podcast ve rahatlatıcı lo-fi dinleyin.","NeoTune ile dünya genelinden canlı AM/FM radyoları, popüler podcast'leri ve dinlendirici lo-fi müzikleri keşfedin. Tarza, ülkeye veya dile göre binlerce istasyonu yüksek ses kalitesiyle dinleyin. Özel temalar, ekolayzır, uyku zamanlayıcısı, araç modu ve ekran koruyucu içerir."
"uk","NeoTune: Радіо та Подкасти","Слухайте світове AM/FM-радіо, подкасти та розслабляючий lo-fi.","Насолоджуйтесь прямим ефіром тисяч світових радіостанцій, популярними подкастами та заспокійливою ло-фі музикою з NeoTune. Шукайте станції за жанром, країною або мовою з високою якістю звуку. Включає індивідуальні теми, еквалайзер, таймер сну, автомобільний режим та скрінсейвер."
"ur","NeoTune: ریڈیو اور پوڈ کاسٹ","عالمی AM/FM ریڈیو، پوڈ کاسٹ اور پرسکون لو-فائی سنیں۔","NeoTune کے ساتھ دنیا بھر کے ہزاروں لائیو ریڈیو اسٹیشنز، مقبول پوڈ کاسٹ اور پرسکون لو-فائی موسیقی سے لطف اندوز ہوں۔ صنف، ملک یا زبان کے لحاظ سے اسٹیشنز تلاش کریں۔ اس میں حسب ضرورت تھیمز، ایکولائزر، سلیپ ٹائمر اور کار مڈ شامل ہیں۔"
"uz","NeoTune: Radio va Podkastlar","Global AM/FM radio, podkastlar va tinchlantiruvchi lo-fi tinglang.","NeoTune yordamida dunyo bo'ylab jonli AM/FM radiostantsiyalar, mashhur podkastlar va tinchlantiruvchi lo-fi musiqasidan bahramand bo'ling. Janr, mamlakat yoki til bo'yicha stantsiyalarni qidiring. Maxsus mavzular, ekvalayzer, uyqu taymeri va avtomobil rejimi mavjud."
"vi","NeoTune: Radio & Podcast","Nghe đài AM/FM toàn cầu, podcast và nhạc lo-fi thư giãn.","Trải nghiệm phát thanh trực tiếp toàn cầu, podcast phổ biến và nhạc lo-fi thư giãn cùng NeoTune. Khám phá hàng ngàn kênh AM/FM theo thể loại, quốc gia hoặc ngôn ngữ với âm thanh chất lượng cao. Tích hợp giao diện tùy biến, bộ chỉnh âm equalizer, hẹn giờ tắt, chế độ lái xe ô tô và màn hình chờ động."
"zh-rCN","NeoTune: 全球广播与播客","收听全球AM/FM收音机、热门播客和放空Lo-Fi音乐。","通过 NeoTune 体验全球直播电台、热门播客和令人放松的 Lo-Fi 音乐。按流派、国家或语言浏览数千个 live AM/FM 电台，享受无缝高清音质。支持自定义主题、均衡器、睡眠定时器、驾驶车载模式和精美屏幕保护程序。"
